日期,新增确诊,确诊总数,治愈数,死亡数
02.27,1,1,0,0
02.28,2,3,0,0
02.29,0,3,0,0
03.01,0,3,0,0
03.02,0,3,0,0
03.03,0,3,1,0
03.04,1,4,1,0
03.05,2,6,1,0
03.06,1,7,1,0
03.07,2,9,1,0
03.08,1,14,1,0
03.09,1,15,1,0
03.10,2,17,5,0
03.11,14,31,6,0
03.12,18,49,6,0
03.13,21,70,7,0
03.14,31,101,7,0
03.15,22,123,7,0
03.16,0,123,7,0
03.17,35,158,7,0
03.18,0,158,7,0
03.19,0,158,7,0
03.20,119,277,25,0
03.21,31,308,31,0
03.22,125,433,64,1
03.23,143,576,73,5
03.24,329,763,73,8
03.25,143,906,86,13
03.26,144,907,86,17
03.27,122,1029,86,17
03.28,263,1292,115,24
03.29,160,1452,139,37
03.30,500,1952,206,46
03.31,293,2245,220,78
04.01,215,2460,252,86
04.02,278,2738,267,94
04.03,445,3183,283,122
04.04,430,3613,329,141
04.05,251,3864,374,148
04.06,193,4057,406,162
04.07,360,4417,460,197
04.08,344,4761,528,215
04.09,441,5202,647,229
04.10,265,5467,729,265
04.11,523,5990,758,282
04.12,310,6300,852,306
04.13,333,6633,914,318
04.14,246,6879,1051,351
04.15,337,7216,1217,362
04.16,491,7707,1357,392
04.17,360,8067,1508,411
04.18,351,8418,1730,421
04.19,328,8746,1892,434
04.20,190,8936,2017,469
04.21,306,9242,2153,482
04.22,468,9710,2406,508
04.23,386,10096,2478,541
04.24,321,10417,2817,552
04.25,218,10635,2890,579
04.26,401,11036,3054,608
04.27,303,11339,3141,631
04.28,277,11616,3404,650
04.29,362,11978,3569,681
04.30,262,12240,4017,705
05.01,327,12567,4328,726
05.02,165,12732,4547,755
05.03,0,12732,4547,771
05.04,780,13512,5269,803
05.05,325,13837,5454,841
05.06,270,14107,5788,858
05.07,392,14499,6144,881
05.08,312,14811,6423,898
05.09,320,15131,6912,929
05.10,231,15362,7051,952
05.11,226,15588,7245,972
05.12,190,15778,7685,991
05.13,224,16002,7961,1016
05.14,245,16247,9053,1046
05.15,190,16437,9370,1056
05.16,267,16704,9574,1081
05.17,167,16871,9890,1104
05.18,165,17036,9930,1107
05.19,155,17191,10166,1126
05.20,196,17387,10356,1144
05.21,198,17585,10581,1151
05.22,127,17712,10777,1159
05.23,145,17857,11187,1170
05.24,213,18070,11399,1185
05.25,213,18283,11630,1202
05.26,146,18429,11874,1210
05.27,165,18594,12162,1223
05.28,197,18791,12629,1231
05.29,191,18982,12829,1240
05.30,151,19133,13046,1259
05.31,124,19257,13256,1266
06.01,141,19398,13426,1276
06.02,119,19517,13526,1279
06.03,0,19517,13526,1288
06.04,390,19907,13919,1299
06.05,196,20103,14145,1308
06.06,187,20290,14419,1318
06.07,189,20479,14638,1326
06.08,125,20604,14826,1339
06.09,145,20749,14910,1353
06.10,0,20749,14910,1360
06.11,433,21182,15283,1369
06.12,222,21404,15445,1380
06.13,275,21679,15635,1394
06.14,320,21999,15719,1410
06.15,166,22165,15817,1427
06.16,250,22415,16071,1437
06.17,345,22760,16117,1451
06.18,0,22760,16117,1451
