日期,新增确诊,确诊总数,治愈数,死亡数
02.28,1,1,0,0
02.29,0,1,0,0
03.01,0,1,0,0
03.02,0,1,0,0
03.03,2,3,0,0
03.04,3,6,0,0
03.05,0,6,0,0
03.06,0,6,0,0
03.07,0,6,0,0
03.08,0,6,0,0
03.09,0,6,0,0
03.10,3,9,0,0
03.11,3,12,3,0
03.12,0,12,3,0
03.13,0,12,3,0
03.14,15,27,3,0
03.15,0,27,3,0
03.16,9,36,3,0
03.17,0,36,3,0
03.18,0,36,3,0
03.19,15,51,5,0
03.20,18,69,15,0
03.21,0,69,5,0
03.22,7,76,15,0
03.23,12,81,15,0
03.24,0,81,22,0
03.25,5,86,15,0
03.26,0,86,29,0
03.27,8,94,32,0
03.28,0,94,32,0
03.29,8,94,32,0
03.30,58,152,32,0
03.31,0,152,47,1
04.01,11,163,53,2
04.02,141,304,53,4
04.03,47,351,53,4
04.04,0,351,53,4
04.05,211,562,53,8
04.06,138,700,53,13
04.07,161,861,54,13
04.08,205,1066,77,13
04.09,420,1486,139,16
04.10,495,1981,169,19
04.11,245,2226,172,23
04.12,352,2578,203,26
04.13,341,2919,203,29
04.14,362,3281,203,33
04.15,447,3728,203,36
04.16,476,4204,203,40
04.17,575,4779,342,42
04.18,0,4779,342,42
04.19,0,4779,342,47
04.20,1485,6264,514,51
04.21,0,6264,514,51
04.22,1017,7281,769,58
04.23,741,8022,938,60
04.24,751,8773,1120,63
04.25,817,9590,1573,67
04.26,873,10463,1695,72
04.27,826,11289,1740,75
04.28,919,12208,1993,79
04.29,973,13181,2072,84
04.30,846,14027,2386,89
05.01,890,14917,2918,93
05.02,911,15828,3117,97
05.03,0,15828,3117,97
05.04,1661,17489,3259,103
05.05,861,18350,3771,107
05.06,905,19255,4388,112
05.07,913,20168,5067,116
05.08,933,21101,5484,121
05.09,951,22052,6050,126
05.10,921,22973,6406,131
05.11,933,23906,6531,135
05.12,967,24873,6974,142
05.13,952,25825,7711,146
05.14,947,26772,8168,151
05.15,958,27730,8807,156
05.16,951,28681,9498,160
05.17,969,29650,9932,165
05.18,922,30572,10130,171
05.19,936,31508,10620,175
05.20,918,32426,11415,179
05.21,945,33371,12057,185
05.22,932,34303,12833,190
05.23,941,35244,13528,194
05.24,954,36198,14155,199
05.25,946,37144,14449,204
05.26,915,38059,15086,208
05.27,897,38956,15923,214
05.28,902,39858,16660,219
05.29,906,40764,17390,224
05.30,894,41658,17964,229
05.31,898,42556,18514,235
06.01,847,43403,18776,240
06.02,852,44255,19195,243
06.03,0,44255,19195,243
06.04,1726,45981,21162,253
06.05,887,46868,22066,259
06.06,883,47751,23015,263
06.07,879,48630,23647,269
06.08,823,49453,23880,276
06.09,812,50265,24506,282
06.10,0,50265,24506,282
06.11,1551,51816,26643,293
06.12,704,52520,27760,298
06.13,721,53241,29111,303
06.14,732,53973,30103,308
06.15,707,54680,30420,312
06.16,689,55369,31273,318
06.17,663,56032,32735,324
06.18,0,56032,32735,324
