日期,新增确诊,确诊总数,治愈数,死亡数
03.03,1,1,0,0
03.04,0,1,0,0
03.05,0,1,0,0
03.06,0,1,0,0
03.07,0,1,0,0
03.08,0,1,0,0
03.09,0,1,0,0
03.10,4,5,0,0
03.11,0,5,0,0
03.12,2,7,0,0
03.13,6,13,0,0
03.14,0,13,0,0
03.15,5,18,0,0
03.16,2,20,0,0
03.17,0,20,0,0
03.18,7,27,0,0
03.19,12,39,0,0
03.20,0,39,0,0
03.21,21,60,0,0
03.22,15,75,0,3
03.23,14,89,1,3
03.24,25,114,1,3
03.25,5,119,1,4
03.26,59,173,1,5
03.27,54,227,1,6
03.28,0,227,2,7
03.29,51,278,2,8
03.30,34,312,2,8
03.31,50,362,3,10
04.01,32,394,3,10
04.02,29,423,5,12
04.03,32,455,5,14
04.04,40,495,5,18
04.05,58,553,5,19
04.06,21,574,5,22
04.07,22,596,5,22
04.08,27,623,25,23
04.09,5,628,25,24
04.10,15,643,25,25
04.11,28,671,43,25
04.12,14,685,43,28
04.13,22,707,43,31
04.14,19,726,43,34
04.15,21,747,43,34
04.16,33,780,43,35
04.17,42,822,43,37
04.18,42,864,43,37
04.19,2,866,43,37
04.20,13,879,148,38
04.21,5,884,148,38
04.22,17,901,170,38
04.23,8,909,190,38
04.24,9,918,190,38
04.25,4,922,194,38
04.26,17,939,207,38
04.27,10,949,216,38
04.28,18,967,279,39
04.29,8,975,279,40
04.30,5,980,294,40
05.01,14,994,305,41
05.02,4,998,316,41
05.03,11,1009,323,42
05.04,4,1013,328,42
05.05,5,1018,406,43
05.06,4,1022,482,43
05.07,3,1025,591,43
05.08,1,1026,600,44
05.09,4,1030,638,45
05.10,2,1032,660,45
05.11,0,1032,700,45
05.12,0,1032,727,45
05.13,0,1032,740,45
05.14,0,1032,759,45
05.15,0,1032,770,45
05.16,3,1035,802,45
05.17,2,1037,807,45
05.18,0,1037,816,45
05.19,6,1043,819,46
05.20,1,1044,826,47
05.21,1,1045,862,47
05.22,1,1046,883,47
05.23,2,1048,903,47
05.24,0,1048,914,48
05.25,3,1051,917,48
05.26,0,1051,919,48
05.27,0,1051,929,48
05.28,17,1068,938,48
05.29,3,1071,946,48
05.30,5,1076,950,48
05.31,1,1077,960,48
06.01,7,1084,964,48
06.02,2,1086,965,48
06.03,0,1086,965,48
06.04,1,1087,968,49
06.05,0,1087,969,49
06.06,0,1087,977,49
06.07,0,1087,982,49
06.08,0,1087,982,49
06.09,0,1087,982,49
06.10,0,1087,982,49
06.11,0,1087,989,49
06.12,6,1093,995,49
06.13,0,1093,995,49
06.14,3,1096,998,49
06.15,14,1110,999,49
06.16,15,1125,1002,49
06.17,3,1128,1004,50
06.18,0,1128,1004,50
