日期,新增确诊,确诊总数,治愈数,死亡数
03.04,1,1,0,0
03.05,0,1,0,0
03.06,0,1,0,0
03.07,4,5,0,0
03.08,2,8,0,0
03.09,8,16,0,0
03.10,2,18,0,0
03.11,7,25,0,0
03.12,22,47,0,1
03.13,20,51,0,1
03.14,17,68,0,1
03.15,36,104,0,3
03.16,21,125,13,3
03.17,52,177,13,5
03.18,61,238,13,5
03.19,49,287,13,5
03.20,68,355,13,5
03.21,70,425,13,5
03.22,138,563,13,7
03.23,71,634,13,7
03.24,115,749,13,8
03.25,152,901,13,10
03.26,150,1051,13,10
03.27,170,1221,13,16
03.28,168,1389,13,16
03.29,249,1638,13,18
03.30,267,1905,7,26
03.31,310,2215,7,32
04.01,205,2420,7,36
04.02,272,2692,56,51
04.03,457,3149,56,59
04.04,354,3503,116,73
04.05,331,3834,134,84
04.06,367,4201,162,98
04.07,331,4532,191,111
04.08,468,5000,222,136
04.09,341,5341,284,164
04.10,401,5742,318,175
04.11,346,6088,375,195
04.12,586,6674,375,232
04.13,260,6934,487,245
04.14,115,7049,618,251
04.15,359,7408,668,268
04.16,363,7771,774,292
04.17,443,8214,866,318
04.18,349,8563,981,339
04.19,519,9082,1040,350
04.20,371,9453,1133,362
04.21,284,9737,1297,385
04.22,297,10034,1513,404
04.23,312,10346,1740,435
04.24,413,10759,1944,463
04.25,308,11067,2126,499
04.26,328,11395,2265,526
04.27,366,11761,2466,539
04.28,328,12089,2655,570
04.29,326,12415,3025,606
04.30,366,12781,3236,628
05.01,324,13105,3491,651
05.02,270,13375,3762,664
05.03,0,13375,3762,664
05.04,562,13937,4095,683
05.05,305,14242,4280,700
05.06,405,14647,4655,723
05.07,251,14898,4862,737
05.08,302,15200,5184,756
05.09,310,15510,5437,777
05.10,311,15821,5698,791
05.11,385,16206,5816,803
05.12,355,16561,6131,827
05.13,501,17062,6410,847
05.14,407,17469,6696,869
05.15,381,17850,6918,893
05.16,334,18184,7175,912
05.17,210,18394,7451,919
05.18,352,18746,7628,929
05.19,334,19080,7903,941
05.20,489,19569,8183,953
05.21,414,19983,8452,965
05.22,396,20379,8731,973
05.23,459,20838,8977,990
05.24,398,21236,9194,995
05.25,204,21440,9276,996
05.26,427,21867,10020,1013
05.27,436,22303,10330,1025
05.28,297,22600,10560,1030
05.29,364,22964,10692,1043
05.30,412,23376,11016,1051
05.31,310,23686,11271,1064
06.01,301,23987,11449,1065
06.02,284,24271,11726,1081
06.03,124,24395,11726,1092
06.04,431,24826,12227,1117
06.05,351,25177,12410,1127
06.06,492,25669,12641,1143
06.07,580,26249,12855,1155
06.08,531,26780,12998,1161
06.09,585,27365,13196,1172
06.10,303,27668,13411,1191
06.11,533,28201,13696,1215
06.12,376,28577,13805,1222
06.13,440,29017,14104,1237
06.14,375,29392,14226,1247
06.15,396,29788,14383,1256
06.16,407,30195,14654,1272
06.17,506,30701,14921,1286
06.18,0,30701,14921,1286
