日期,新增确诊,确诊总数,治愈数,死亡数
03.07,1,1,0,0
03.08,4,5,0,0
03.09,4,9,0,0
03.10,0,9,0,0
03.11,4,13,0,0
03.12,9,22,0,0
03.13,0,22,0,0
03.14,0,22,0,0
03.15,0,22,0,0
03.16,13,35,0,0
03.17,6,41,0,0
03.18,0,41,0,0
03.19,28,69,0,1
03.20,18,87,0,1
03.21,26,113,0,2
03.22,4,117,2,2
03.23,17,134,0,2
03.24,24,158,0,2
03.25,19,177,2,2
03.26,43,201,2,2
03.27,30,231,2,2
03.28,32,263,2,2
03.29,32,295,3,2
03.30,19,314,3,2
03.31,16,330,4,2
04.01,17,347,4,2
04.02,28,375,4,2
04.03,21,396,6,2
04.04,20,416,11,2
04.05,19,435,13,2
04.06,19,454,16,2
04.07,13,467,18,2
04.08,16,483,24,2
04.09,19,502,29,3
04.10,37,539,30,3
04.11,19,558,42,3
04.12,19,577,49,3
04.13,18,595,56,3
04.14,17,612,62,3
04.15,6,618,66,3
04.16,8,626,67,4
04.17,16,642,74,4
04.18,7,649,88,4
04.19,6,655,97,4
04.20,5,660,112,5
04.21,2,662,124,6
04.22,7,669,150,6
04.23,12,681,180,6
04.24,5,686,196,6
04.25,1,687,216,6
04.26,6,693,242,6
04.27,2,695,264,6
04.28,2,697,287,6
04.29,8,705,306,6
04.30,8,713,323,6
05.01,6,719,338,6
05.02,6,725,355,6
05.03,8,733,372,6
05.04,6,739,386,6
05.05,3,742,399,6
05.06,13,755,413,6
05.07,6,761,428,6
05.08,4,765,445,6
05.09,8,773,461,6
05.10,7,780,480,6
05.11,12,792,501,7
05.12,9,801,517,7
05.13,3,804,520,7
05.14,11,815,527,8
05.15,15,830,535,8
05.16,13,843,542,10
05.17,10,853,551,10
05.18,10,863,565,10
05.19,3,866,575,10
05.20,16,882,577,10
05.21,15,897,582,10
05.22,6,903,592,10
05.23,8,911,600,10
05.24,7,918,607,10
05.25,12,930,620,10
05.26,21,951,628,10
05.27,5,956,634,10
05.28,28,984,639,10
05.29,16,1000,646,10
05.30,22,1022,653,10
05.31,25,1047,658,10
06.01,9,1056,669,10
06.02,28,1084,676,10
06.03,21,1105,682,10
06.04,52,1157,685,10
06.05,37,1194,687,10
06.06,34,1228,695,10
06.07,35,1263,701,10
06.08,55,1318,704,10
06.09,24,1342,712,11
06.10,33,1375,717,11
06.11,86,1461,722,12
06.12,77,1538,722,12
06.13,74,1612,731,12
06.14,50,1662,743,12
06.15,53,1715,752,12
06.16,29,1744,771,12
06.17,52,1796,794,12
06.18,0,1796,794,12
