日期,新增确诊,确诊总数,治愈数,死亡数
03.14,2,2,0,0
03.15,8,10,0,0
03.16,7,17,0,0
03.17,16,33,0,0
03.18,0,33,0,0
03.19,3,36,0,0
03.20,6,42,0,0
03.21,23,65,0,0
03.22,28,70,0,0
03.23,7,77,0,0
03.24,7,84,0,0
03.25,7,91,15,0
03.26,22,106,0,0
03.27,1,107,0,1
03.28,6,113,39,2
03.29,12,119,39,2
03.30,10,129,39,3
03.31,6,135,39,3
04.01,8,143,41,3
04.02,1,144,43,3
04.03,2,146,43,5
04.04,7,153,52,7
04.05,2,155,52,7
04.06,4,159,52,7
04.07,6,165,65,7
04.08,1,166,65,7
04.09,1,167,65,9
04.10,4,171,84,9
04.11,4,175,84,9
04.12,0,175,93,9
04.13,6,181,93,9
04.14,8,189,110,9
04.15,8,197,111,9
04.16,0,197,111,9
04.17,7,204,111,9
04.18,23,227,113,9
04.19,0,227,117,9
04.20,29,256,117,9
04.21,29,285,117,10
04.22,3,288,122,10
04.23,10,298,122,10
04.24,13,311,126,10
04.25,7,318,132,10
04.26,5,323,132,10
04.27,2,325,137,10
04.28,4,329,142,10
04.29,0,329,142,10
04.30,2,331,142,10
05.01,2,333,142,16
05.02,2,335,148,10
05.03,10,345,148,10
05.04,12,357,158,10
05.05,4,361,158,10
05.06,6,367,164,10
05.07,12,379,176,10
05.08,2,381,185,10
05.09,7,388,190,10
05.10,14,402,190,10
05.11,12,414,193,10
05.12,8,422,205,10
05.13,1,423,220,10
05.14,17,440,220,10
05.15,15,455,220,10
05.16,4,459,229,10
05.17,45,504,241,10
05.18,37,541,241,10
05.19,77,618,253,10
05.20,131,749,253,10
05.21,75,824,262,10
05.22,58,882,262,10
05.23,62,944,262,10
05.24,66,1010,262,10
05.25,111,1121,262,10
05.26,56,1177,302,10
05.27,34,1211,302,11
05.28,34,1245,302,11
05.29,80,1325,302,11
05.30,45,1370,302,14
05.31,89,1459,302,14
06.01,51,1510,302,14
06.02,152,1662,302,17
06.03,157,1819,334,18
06.04,133,1952,334,20
06.05,135,2087,334,20
06.06,58,2145,334,20
06.07,171,2316,385,22
06.08,61,2377,487,22
06.09,96,2473,487,22
06.10,159,2632,487,23
06.11,106,2738,487,23
06.12,76,2814,487,23
06.13,65,2879,487,23
06.14,25,2904,487,24
06.15,74,2978,835,25
06.16,84,3062,835,26
06.17,88,3150,835,27
