日期,新增确诊,确诊总数,治愈数,死亡数
03.06,1,1,0,0
03.07,0,1,0,0
03.08,0,1,0,0
03.09,0,1,0,0
03.10,3,4,0,0
03.11,8,12,0,0
03.12,7,19,0,0
03.13,12,31,0,0
03.14,6,41,0,0
03.15,5,46,0,0
03.16,9,55,0,0
03.17,10,65,0,0
03.18,18,83,0,0
03.19,6,89,0,0
03.20,29,118,0,0
03.21,31,149,0,1
03.22,22,171,0,1
03.23,51,222,0,1
03.24,27,249,2,3
03.25,135,384,2,4
03.26,73,457,2,6
03.27,71,528,15,7
03.28,131,659,15,10
03.29,82,741,15,13
03.30,44,785,15,16
03.31,0,785,0,16
04.01,275,1060,0,28
04.02,111,1171,0,31
04.03,0,1171,0,31
04.04,453,1624,0,44
04.05,0,1624,0,44
04.06,284,1908,0,51
04.07,539,2447,0,61
04.08,0,2447,0,61
04.09,420,2867,0,66
04.10,0,2867,0,66
04.11,238,3105,0,71
04.12,275,3380,0,74
04.13,250,3630,118,80
04.14,424,4054,118,80
04.15,411,4465,118,94
04.16,408,4873,118,99
04.17,445,5318,118,103
04.18,372,5690,534,110
04.19,304,5994,637,117
04.20,324,6318,753,122
04.21,312,6630,870,125
04.22,0,6630,870,125
04.23,0,6630,870,125
04.24,0,6630,870,125
04.25,0,6630,870,125
04.26,0,6630,870,125
04.27,0,6630,870,125
04.28,222,8275,1209,162
04.29,227,8497,1260,168
04.30,227,8724,1292,173
05.01,285,9009,1343,179
05.02,0,9009,1343,179
05.03,353,9362,1426,189
05.04,102,9464,1551,193
05.05,93,9557,1574,197
05.06,120,9677,1723,200
05.07,114,9791,1971,203
05.08,57,9848,2160,206
05.09,95,9943,2453,209
05.10,89,10032,2732,215
05.11,0,10032,2732,215
05.12,144,10176,3290,218
05.13,67,10243,3600,220
05.14,52,10295,3824,222
05.15,143,10438,4301,225
05.16,58,10496,4479,228
05.17,114,10610,4713,230
05.18,89,10699,4799,231
05.19,34,10733,4904,234
05.20,100,10833,5067,235
05.21,86,10919,5370,237
05.22,0,10919,5370,237
05.23,173,11092,5699,238
05.24,67,11159,5857,238
05.25,34,11193,5920,239
05.26,34,11227,6067,239
05.27,48,11275,6277,240
05.28,25,11300,6438,241
05.29,54,11354,6524,242
05.30,27,11381,6606,242
05.31,31,11412,6698,243
06.01,18,11430,6726,244
06.02,24,11454,6766,245
06.03,0,11454,6766,245
06.04,117,11571,6910,246
06.05,96,11667,6931,247
06.06,74,11741,11056,248
06.07,82,11823,11348,249
06.08,73,11896,11189,250
06.09,69,11965,11268,250
06.10,0,11965,11268,250
06.11,137,12102,11362,252
06.12,73,12175,11411,252
06.13,76,12251,11465,253
06.14,59,12310,11511,254
06.15,57,12367,11561,255
06.16,59,12426,11624,256
06.17,96,12522,11697,257
06.18,0,12522,11697,257
